journal,domain,tier,issn,volume_2024,total_dois
"Journal of Transportation Engineering, Part A: Systems",cs_ai,3,2473-2907,364,1331
Networks and Spatial Economics,cs_ai,3,1566-113X,103,863
Journal of Automation and Intelligence,cs_ai,3,2949-8554,83,127
Sustainable Computing: Informatics and Systems,cs_ai,3,2210-5379,298,1149
The European Journal on Artificial Intelligence,cs_ai,3,3050-4554,136,92
Journal of Applied Artificial Intelligence,cs_ai,3,2709-5908,66,43
Computers in Human Behavior: Artificial Humans,cs_ai,3,2949-8821,245,286
Soil Systems,cs_ai,3,2571-8789,300,822
Artificial Intelligence Chemistry,cs_ai,3,2949-7477,160,115
Big Data Mining and Analytics,cs_ai,3,2096-0654,194,381
IEEE Journal on Multiscale and Multiphysics Computational Techniques,cs_ai,3,2379-8815,73,381
IEEE Transactions on Networking,cs_ai,3,2998-4157,123,567
Discover Health Systems,cs_ai,3,2731-7501,261,348
Journal of Medicinal Chemistry,stem,1,0022-2623,3062,39740
Journal of the American Chemical Society,stem,1,0002-7863,28261,218082
Colloids and Surfaces A: Physicochemical and Engineering Aspects,stem,1,0927-7757,50722,33135
Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,stem,1,0168-583X,1390,38294
Procedia Computer Science,stem,1,1877-0509,15388,33546
Inorganic Chemistry,stem,1,0020-1669,17365,76116
Sensors,stem,1,1424-8220,18138,76958
Materials,stem,1,1996-1944,26029,55377
International Journal of Hydrogen Energy,stem,1,0360-3199,29439,57822
Journal of Biological Chemistry,stem,1,0021-9258,2797,210992
Russian Journal of General Chemistry,stem,2,1070-3632,909,10915
Thin-Walled Structures,stem,2,0263-8231,1935,11382
Materials Chemistry and Physics,stem,2,0254-0584,14738,26339
European Journal of Organic Chemistry,stem,2,1434-193X,1540,22538
Optical Materials,stem,2,0925-3467,3187,17063
Engineering Structures,stem,2,0141-0296,34305,22127
Journal of Water Process Engineering,stem,2,2214-7144,36979,9911
Computer Methods in Applied Mechanics and Engineering,stem,2,0045-7825,14507,16661
Fusion Engineering and Design,stem,2,0920-3796,8226,16318
Structures,stem,2,2352-0124,7494,11763
Environmental Research Letters,stem,2,1748-9326,2134,9663
Environmental Earth Sciences,stem,2,1866-6280,1526,12733
Journal of Marine Science and Engineering,stem,2,2077-1312,42496,13260
Journal of Photochemistry and Photobiology A: Chemistry,stem,2,1010-6030,1828,15230
Ecotoxicology and Environmental Safety,stem,2,0147-6513,9132,19520
Journal of Structural Chemistry,stem,2,0022-4766,1003,13036
Journal of Solid State Chemistry,stem,2,0022-4596,1326,23417
Frontiers in Chemistry,stem,2,2296-2646,1099,8239
Materials Characterization,stem,2,1044-5803,3233,11355
Measurement Science and Technology,stem,2,0957-0233,8202,18263
"Engineering Science and Technology, an International Journal",stem,3,2215-0986,1602,1907
Applied Physics Reviews,stem,3,1931-9401,1062,1319
International Journal of Pavement Engineering,stem,3,1029-8436,3293,2954
Energy,stem,3,2589-7780,23382,164
Materials Today Energy,stem,3,2468-6069,741,2223
Health Science Reports,stem,3,2398-8835,5184,4428
Low Temperature Physics,stem,3,1063-777X,844,5826
ACS Applied Bio Materials,stem,3,2576-6422,1746,5514
Procedia Structural Integrity,stem,3,2452-3216,2174,6723
ACS Applied Engineering Materials,stem,3,2771-9545,5404,1193
Journal of Energy Chemistry,stem,3,2095-4956,4200,5759
Clean Technologies and Environmental Policy,stem,3,1618-954X,724,3687
Computer-Aided Civil and Infrastructure Engineering,stem,3,1093-9687,2176,3218
Foods,stem,3,3123-1748,7516,6
Measurement,stem,3,1350-4487,7813,7037
Indian Journal of Physics,stem,3,0019-5480,1918,4524
IEEE Transactions on Network Science and Engineering,stem,3,2327-4697,7788,2834
Materials Today Bio,stem,3,2590-0064,2121,3031
Communications Physics,stem,3,2399-3650,2158,2589
Physics of Particles and Nuclei,stem,3,1063-7796,1011,2142
